n,died,year,species_name,annual_mean_temp,tot_annual_pp,prior_mu
6,2,1980,Abies balsamifera,-0.103333334003886,963.8,0.0405810719516916
18,10,1980,Abies balsamifera,0.0273333355784416,919.466666666667,0.0405810719516916
28,4,1989,Abies balsamifera,3.10799999237061,1058.06666666667,0.0529371893485113
7,0,1980,Abies balsamifera,-0.522000003606081,982.933333333333,0.0405810719516916
2,0,2004,Abies balsamifera,0.567999991774559,1432.73333333333,0.0821316167041284
6,0,2009,Abies balsamifera,0.825333328545094,1410.06666666667,0.0949475757138162
3,2,1980,Abies balsamifera,-1.81800001064936,990.8,0.0405810719516916
57,2,2003,Abies balsamifera,0.501999991138776,1464.13333333333,0.079776298364389
55,11,2008,Abies balsamifera,0.79133332769076,1450.73333333333,0.0922398232971371
31,0,2003,Abies balsamifera,0.501999991138776,1465.66666666667,0.079776298364389
35,2,2008,Abies balsamifera,0.79133332769076,1449.46666666667,0.0922398232971371
49,12,2002,Abies balsamifera,0.49799999097983,1474.66666666667,0.0774862090879015
38,18,2007,Abies balsamifera,0.731999992330869,1443.6,0.0896061797636543
6,2,1980,Abies balsamifera,-0.308666657408079,992.666666666667,0.0405810719516916
12,2,2007,Abies balsamifera,0.0433333377043406,1443.6,0.0896061797636543
4,4,1980,Abies balsamifera,-1.63533331950506,1034.4,0.0405810719516916
1,0,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
5,0,2010,Abies balsamifera,0.955999985833963,1392.26666666667,0.0977313180932363
14,14,1985,Abies balsamifera,3.2386666615804,1150.6,0.0470468160654742
2,2,1980,Abies balsamifera,1.58733335137367,976.333333333333,0.0405810719516916
7,2,2000,Abies balsamifera,0.368666662275791,1518.86666666667,0.0730950685539042
13,0,2005,Abies balsamifera,0.577333332101504,1431.4,0.0845538699622135
21,2,2010,Abies balsamifera,0.955999985833963,1417.13333333333,0.0977313180932363
40,0,2003,Abies balsamifera,0.254000002145767,1447.33333333333,0.079776298364389
43,3,2008,Abies balsamifera,0.543333334724108,1425.86666666667,0.0922398232971371
18,18,1985,Abies balsamifera,2.66999997297923,1170.13333333333,0.0470468160654742
20,0,2003,Abies balsamifera,0.501999991138776,1464.13333333333,0.079776298364389
29,1,2008,Abies balsamifera,0.79133332769076,1450.73333333333,0.0922398232971371
1,0,2000,Abies balsamifera,0.118666669229666,1502.13333333333,0.0730950685539042
9,2,2005,Abies balsamifera,0.330000001192093,1410.26666666667,0.0845538699622135
17,0,2010,Abies balsamifera,0.705999994277954,1392.26666666667,0.0977313180932363
6,0,1985,Abies balsamifera,2.85800001621246,1214.53333333333,0.0470468160654742
10,0,2005,Abies balsamifera,0.577333332101504,1410.26666666667,0.0845538699622135
22,0,2010,Abies balsamifera,0.955999985833963,1392.26666666667,0.0977313180932363
